Reading traces...
Reading specs frequency...
Reading locations...
Counting events...
Total 17719546 events and 9215 traces
Inspecting top 200 IMM
Finding hot methods...
Number of events, method name
1,fi.solita.utils.functional.Predicates$Impl$1.<clinit>:0
1,fi.solita.utils.functional.Predicates$Impl$2.<clinit>:0
1,fi.solita.utils.functional.FunctionalTest$2.<clinit>:0
1,fi.solita.utils.functional.Transformers$8.<clinit>:0
1,fi.solita.utils.functional.Transformers$8$1.<clinit>:0
1,fi.solita.utils.functional.Transformers$12.<clinit>:0
1,fi.solita.utils.functional.Transformers$14.<clinit>:0
1,fi.solita.utils.functional.Transformers$15.<clinit>:0
1,fi.solita.utils.functional.Transformers$16.<clinit>:0
1,fi.solita.utils.functional.Transformers$17.<clinit>:0
1,fi.solita.utils.functional.Transformers$18.<clinit>:0
1,fi.solita.utils.functional.Transformers$19.<clinit>:0
1,fi.solita.utils.functional.Transformers$20.<clinit>:0
1,fi.solita.utils.functional.Transformers$21.<clinit>:0
1,fi.solita.utils.functional.Transformers$22.<clinit>:0
1,fi.solita.utils.functional.Transformers$23.<clinit>:0
1,fi.solita.utils.functional.Transformers$24.<clinit>:0
1,fi.solita.utils.functional.Transformers$25.<clinit>:0
1,fi.solita.utils.functional.Transformers$26.<clinit>:0
1,fi.solita.utils.functional.Transformers$28.<clinit>:0
1,fi.solita.utils.functional.Transformers$29.<clinit>:0
1,fi.solita.utils.functional.Transformers$30.<clinit>:0
1,fi.solita.utils.functional.Transformers$31.<clinit>:0
1,fi.solita.utils.functional.Transformers$35.<clinit>:0
1,fi.solita.utils.functional.Transformers$36.<clinit>:0
1,fi.solita.utils.functional.Transformers$37.<clinit>:0
1,fi.solita.utils.functional.Transformers$38.<clinit>:0
1,fi.solita.utils.functional.Transformers$43.<clinit>:0
1,fi.solita.utils.functional.Transformers$44.<clinit>:0
1,fi.solita.utils.functional.Transformers$45.<clinit>:0
1,fi.solita.utils.functional.Transformers$46.<clinit>:0
1,fi.solita.utils.functional.Transformers$47.<clinit>:0
1,fi.solita.utils.functional.Transformers$48.<clinit>:0
1,fi.solita.utils.functional.Transformers$49.<clinit>:0
1,fi.solita.utils.functional.Transformers$50.<clinit>:0
1,fi.solita.utils.functional.Transformers$51.<clinit>:0
1,fi.solita.utils.functional.Transformers$52.<clinit>:0
1,fi.solita.utils.functional.Transformers$53.<clinit>:0
1,fi.solita.utils.functional.Transformers$54.<clinit>:0
1,fi.solita.utils.functional.Transformers$55.<clinit>:0
1,fi.solita.utils.functional.Transformers$56.<clinit>:0
1,fi.solita.utils.functional.Transformers$57.<clinit>:0
1,fi.solita.utils.functional.Transformers$58.<clinit>:0
1,fi.solita.utils.functional.Transformers$59.<clinit>:0
1,fi.solita.utils.functional.Transformers$60.<clinit>:0
1,fi.solita.utils.functional.Transformers$61.<clinit>:0
1,fi.solita.utils.functional.Transformers$62.<clinit>:0
1,fi.solita.utils.functional.Transformers$63.<clinit>:0
1,fi.solita.utils.functional.Transformers$64.<clinit>:0
1,fi.solita.utils.functional.Transformers$65.<clinit>:0
1,fi.solita.utils.functional.Transformers$66.<clinit>:0
1,fi.solita.utils.functional.Transformers$67.<clinit>:0
1,fi.solita.utils.functional.Transformers$68.<clinit>:0
1,fi.solita.utils.functional.Transformers$69.<clinit>:0
1,fi.solita.utils.functional.Transformers$70.<clinit>:0
1,fi.solita.utils.functional.Transformers$71.<clinit>:0
1,fi.solita.utils.functional.Transformers$72.<clinit>:0
1,fi.solita.utils.functional.Transformers$73.<clinit>:0
1,fi.solita.utils.functional.Transformers$74.<clinit>:0
1,fi.solita.utils.functional.Iterables$GroupingIterable$1$1.<clinit>:0
1,fi.solita.utils.functional.SemiGroups$IntSum.<clinit>:0
1,fi.solita.utils.functional.Monoids$IntSum.<clinit>:0
1,fi.solita.utils.functional.SemiGroups$IntProduct.<clinit>:0
1,fi.solita.utils.functional.Monoids$IntProduct.<clinit>:0
1,fi.solita.utils.functional.SemiGroups$LongSum.<clinit>:0
1,fi.solita.utils.functional.Monoids$LongSum.<clinit>:0
1,fi.solita.utils.functional.SemiGroups$LongProduct.<clinit>:0
1,fi.solita.utils.functional.Monoids$LongProduct.<clinit>:0
1,fi.solita.utils.functional.SemiGroups$DoubleSum.<clinit>:0
1,fi.solita.utils.functional.Monoids$DoubleSum.<clinit>:0
1,fi.solita.utils.functional.SemiGroups$DoubleProduct.<clinit>:0
1,fi.solita.utils.functional.Monoids$DoubleProduct.<clinit>:0
1,fi.solita.utils.functional.SemiGroups$StringConcat.<clinit>:0
1,fi.solita.utils.functional.Monoids$StringConcat.<clinit>:0
1,fi.solita.utils.functional.SemiGroups$BooleanConjunction.<clinit>:0
1,fi.solita.utils.functional.Monoids$BooleanConjunction.<clinit>:0
1,fi.solita.utils.functional.SemiGroups$BooleanDisjunction.<clinit>:0
1,fi.solita.utils.functional.Monoids$BooleanDisjunction.<clinit>:0
1,fi.solita.utils.functional.SemiGroups$SetUnion.<clinit>:0
1,fi.solita.utils.functional.Monoids$SetUnion.<clinit>:0
1,fi.solita.utils.functional.SemiGroups$SetIntersection.<clinit>:0
1,fi.solita.utils.functional.Monoids$SetIntersection.<clinit>:194
1,fi.solita.utils.functional.SemiGroups$ComparatorConcat.<clinit>:0
1,fi.solita.utils.functional.Monoids$ComparatorConcat.<clinit>:0
1,fi.solita.utils.functional.SemiGroups$Max.<clinit>:0
1,fi.solita.utils.functional.SemiGroups$Min.<clinit>:0
1,fi.solita.utils.functional.SemiGroups$First.<clinit>:0
1,fi.solita.utils.functional.SemiGroups$Last.<clinit>:0
1,fi.solita.utils.functional.Function$GivenLater.<clinit>:10
1,fi.solita.utils.functional.Function$GivenEvenLater.<clinit>:13
1,fi.solita.utils.functional.Function$5.<clinit>:0
1,fi.solita.utils.functional.Function0.<clinit>:0
1,fi.solita.utils.functional.Function$1.<clinit>:0
1,fi.solita.utils.functional.Monoids$1.<clinit>:0
1,fi.solita.utils.functional.Function$6.<clinit>:0
1,fi.solita.utils.functional.SemiGroups$Product4.<clinit>:0
1,fi.solita.utils.functional.Tuple4.<clinit>:0
1,fi.solita.utils.functional.Predicates$2.<clinit>:0
1,fi.solita.utils.functional.FunctionalImpl$14.<clinit>:0
1,fi.solita.utils.functional.FunctionalTest$7.<clinit>:0
1,fi.solita.utils.functional.FunctionalTest$8.<clinit>:0
1,fi.solita.utils.functional.Tuple3.<clinit>:0
1,fi.solita.utils.functional.Function3.<clinit>:0
1,fi.solita.utils.functional.FunctionTest$1.<clinit>:0
1,fi.solita.utils.functional.Function3$13.<clinit>:0
1,fi.solita.utils.functional.Function3$10.<clinit>:0
1,fi.solita.utils.functional.Function5.<clinit>:0
1,fi.solita.utils.functional.FunctionTest$2.<clinit>:0
1,fi.solita.utils.functional.Function2$11.<clinit>:0
1,fi.solita.utils.functional.PartialApplicationHelper$3.<clinit>:0
1,fi.solita.utils.functional.Tuple5.<clinit>:0
1,fi.solita.utils.functional.Function5$2.<clinit>:0
1,fi.solita.utils.functional.Either.<clinit>:0
1,fi.solita.utils.functional.Try.<clinit>:0
1,fi.solita.utils.functional.OptionTest$1.<clinit>:0
1,fi.solita.utils.functional.lens.Employee_$1.<clinit>:0
1,fi.solita.utils.functional.lens.Employee_$2.<clinit>:0
1,fi.solita.utils.functional.lens.Employee_$3.<clinit>:0
1,fi.solita.utils.functional.lens.Employee_$4.<clinit>:0
1,fi.solita.utils.functional.lens.Builder$3.<clinit>:0
1,fi.solita.utils.functional.lens.Builder$IncompleteException.<clinit>:0
1,fi.solita.utils.functional.SortTest$1.<clinit>:0
1,fi.solita.utils.functional.SortTest$2.<clinit>:0
1,fi.solita.utils.functional.Ordering$2.<clinit>:0
1,fi.solita.utils.functional.Ordering.<clinit>:31
1,fi.solita.utils.functional.Compare$2.<clinit>:0
1,fi.solita.utils.functional.Monoids$SetIntersection$AllContainingSet.<clinit>:0
^^^ Last method that contains more than one event ^^^
Starting fi.solita.utils.functional.Iterables$TransformingIterable$1.hasNext:547
Finish fi.solita.utils.functional.Iterables$TransformingIterable$1.hasNext:547
Starting fi.solita.utils.functional.Iterables$DistinctIterable$1.readNext:423
Finish fi.solita.utils.functional.Iterables$DistinctIterable$1.readNext:423
Starting fi.solita.utils.functional.Iterables$TakingIterable$1.<init>:873
Finish fi.solita.utils.functional.Iterables$TakingIterable$1.<init>:873
Starting fi.solita.utils.functional.Iterables$ConcatenatingIterable$1.hasNext:357
Finish fi.solita.utils.functional.Iterables$ConcatenatingIterable$1.hasNext:357
Starting fi.solita.utils.functional.Iterables$MemoizingCharSequenceIterable.toString:768
Finish fi.solita.utils.functional.Iterables$MemoizingCharSequenceIterable.toString:768
Starting fi.solita.utils.functional.Match.groups:129
Finish fi.solita.utils.functional.Match.groups:129
Starting fi.solita.utils.functional.Iterables$ConcatenatingIterable.flattenNestedConcats:324
Finish fi.solita.utils.functional.Iterables$ConcatenatingIterable.flattenNestedConcats:324
Starting fi.solita.utils.functional.Match.endsWith:61
Finish fi.solita.utils.functional.Match.endsWith:61
Starting fi.solita.utils.functional.Iterables$ZippingIterable$1.hasNext:278
Finish fi.solita.utils.functional.Iterables$ZippingIterable$1.hasNext:278
Starting fi.solita.utils.functional.Match.startsWith:52
Finish fi.solita.utils.functional.Match.startsWith:52
Starting fi.solita.utils.functional.SortTest.runSortOnce:41
Finish fi.solita.utils.functional.SortTest.runSortOnce:41
Starting fi.solita.utils.functional.Iterables$FilteringIterable$1.<init>:477
Finish fi.solita.utils.functional.Iterables$FilteringIterable$1.<init>:477
Starting fi.solita.utils.functional.Iterables$FilteringIterable$1.readNext:488
Finish fi.solita.utils.functional.Iterables$FilteringIterable$1.readNext:488
Starting fi.solita.utils.functional.FunctionalImpl.isEmpty:363
Finish fi.solita.utils.functional.FunctionalImpl.isEmpty:363
Starting fi.solita.utils.functional.FunctionalImpl.fold:433
Finish fi.solita.utils.functional.FunctionalImpl.fold:433
Starting fi.solita.utils.functional.Match.err:111
Finish fi.solita.utils.functional.Match.err:111
Starting fi.solita.utils.functional.Iterables$ConcatenatingIterable.size:336
Finish fi.solita.utils.functional.Iterables$ConcatenatingIterable.size:336
Starting fi.solita.utils.functional.Match.singleton:141
Finish fi.solita.utils.functional.Match.singleton:141
Starting fi.solita.utils.functional.TestClass.<init>:16
Finish fi.solita.utils.functional.TestClass.<init>:16
Starting fi.solita.utils.functional.Iterables$3.transform:68
Finish fi.solita.utils.functional.Iterables$3.transform:68
Starting fi.solita.utils.functional.Match.instance:34
Finish fi.solita.utils.functional.Match.instance:34
Starting fi.solita.utils.functional.FunctionalImpl$6$1.readNext:268
Finish fi.solita.utils.functional.FunctionalImpl$6$1.readNext:268
Starting fi.solita.utils.functional.Iterables$GroupingIterable$1.next:983
Finish fi.solita.utils.functional.Iterables$GroupingIterable$1.next:983
Starting fi.solita.utils.functional.Iterables$ConcatenatingIterable$1.next:365
Finish fi.solita.utils.functional.Iterables$ConcatenatingIterable$1.next:365
Starting fi.solita.utils.functional.Iterables$4.transform:74
Finish fi.solita.utils.functional.Iterables$4.transform:74
Starting fi.solita.utils.functional.Collections.newSet:900
Finish fi.solita.utils.functional.Collections.newSet:900
Starting fi.solita.utils.functional.FunctionalImpl$7$1.next:321
Finish fi.solita.utils.functional.FunctionalImpl$7$1.next:321
Starting fi.solita.utils.functional.Iterables$ReversingIterable$1.hasNext:590
Finish fi.solita.utils.functional.Iterables$ReversingIterable$1.hasNext:590
Starting fi.solita.utils.functional.Iterables$SortingIterable.iterator:791
Finish fi.solita.utils.functional.Iterables$SortingIterable.iterator:791
Starting fi.solita.utils.functional.FunctionalImpl.mkString:625
Finish fi.solita.utils.functional.FunctionalImpl.mkString:625
Starting fi.solita.utils.functional.FunctionalImpl.foreach:114
Finish fi.solita.utils.functional.FunctionalImpl.foreach:114
Starting fi.solita.utils.functional.Collections.newList:866
Finish fi.solita.utils.functional.Collections.newList:866
Starting fi.solita.utils.functional.Match.iterable:207
Finish fi.solita.utils.functional.Match.iterable:207
Starting fi.solita.utils.functional.lens.Builder$3.transform:200
Finish fi.solita.utils.functional.lens.Builder$3.transform:200
Starting fi.solita.utils.functional.Iterables$ConcatenatingIterable$1.<init>:350
Finish fi.solita.utils.functional.Iterables$ConcatenatingIterable$1.<init>:350
Starting fi.solita.utils.functional.Iterables$MemoizingCharSequenceIterable.charAt:706
Finish fi.solita.utils.functional.Iterables$MemoizingCharSequenceIterable.charAt:706
Starting fi.solita.utils.functional.PairTest.serialization:31
Finish fi.solita.utils.functional.PairTest.serialization:31
Starting fi.solita.utils.functional.Iterables$ZippingIterable$1.next:283
Finish fi.solita.utils.functional.Iterables$ZippingIterable$1.next:283
Starting fi.solita.utils.functional.SortTest.testSort:30
Finish fi.solita.utils.functional.SortTest.testSort:30
Starting fi.solita.utils.functional.Match.split:115
Finish fi.solita.utils.functional.Match.split:115
Starting fi.solita.utils.functional.Iterables$TransformingIterable$1.<init>:543
Finish fi.solita.utils.functional.Iterables$TransformingIterable$1.<init>:543
Starting fi.solita.utils.functional.Tuple.equals:806
Finish fi.solita.utils.functional.Tuple.equals:806
Starting fi.solita.utils.functional.FunctionalImpl.foreach:120
