Reading traces...
Reading specs frequency...
Reading locations...
Counting events...
Total 17722208 events and 9900 traces
Inspecting top 200 IMM
Finding hot methods...
Number of events, method name
89,fi.solita.utils.functional.Match.iterable:225
82,fi.solita.utils.functional.Iterables$MemoizingCharSequenceIterable$1.hasNext:725
79,fi.solita.utils.functional.FunctionalImpl.lastOption:217
77,fi.solita.utils.functional.Iterables$MemoizingCharSequenceIterable.toString:768
68,fi.solita.utils.functional.Iterables$2.transform:62
64,fi.solita.utils.functional.FunctionalImpl.head:193
62,fi.solita.utils.functional.Iterables$ZippingIterable$1.<init>:273
42,fi.solita.utils.functional.Iterables$3.transform:68
41,fi.solita.utils.functional.NoneImpl.iterator:128
39,fi.solita.utils.functional.Match.err:207
26,fi.solita.utils.functional.Match.err:129
22,fi.solita.utils.functional.Iterables$FilteringIterable$1.<init>:477
21,fi.solita.utils.functional.Match.endsWith:62
21,fi.solita.utils.functional.Match.startsWith:53
21,fi.solita.utils.functional.FunctionalImpl.isEmpty:363
20,fi.solita.utils.functional.FunctionalImpl$7$1.next:321
18,fi.solita.utils.functional.Match.singleton:159
17,fi.solita.utils.functional.Iterables$GroupingIterable$1.next:983
15,fi.solita.utils.functional.Iterables$MemoizingCharSequenceIterable.subSequence:687
11,fi.solita.utils.functional.Iterables$TakingIterable$1.<init>:873
11,fi.solita.utils.functional.Iterables$4.transform:74
10,fi.solita.utils.functional.Match.groups:147
9,fi.solita.utils.functional.Match.split:133
9,fi.solita.utils.functional.Match.instance:35
9,fi.solita.utils.functional.PairTest.serialization:31
8,fi.solita.utils.functional.FunctionalImpl.foreach:120
8,fi.solita.utils.functional.FunctionalImpl.foreach:114
8,fi.solita.utils.functional.Iterables$TransposingIterable$1.next:230
7,fi.solita.utils.functional.lens.Builder$3.transform:206
6,fi.solita.utils.functional.FunctionalImpl$6$1.<init>:258
6,fi.solita.utils.functional.Iterables$ReversingIterable$1.next:595
5,fi.solita.utils.functional.lens.Builder$IncompleteException.<init>:103
5,fi.solita.utils.functional.FunctionalImpl.size:371
4,fi.solita.utils.functional.Iterables$ReversingIterable$1.hasNext:590
3,fi.solita.utils.functional.Iterables$DistinctIterable$1.<init>:412
2,fi.solita.utils.functional.FunctionalImpl$7$1.<init>:301
2,fi.solita.utils.functional.FunctionalTest$6.<clinit>:0
1,fi.solita.utils.functional.Function1.<clinit>:0
1,fi.solita.utils.functional.Transformer.<clinit>:0
1,fi.solita.utils.functional.FunctionalTest$1.<clinit>:0
1,fi.solita.utils.functional.FunctionalTest$3.<clinit>:0
1,fi.solita.utils.functional.FunctionalTest$5.<clinit>:0
1,fi.solita.utils.functional.FunctionalC$1.<clinit>:0
1,fi.solita.utils.functional.FunctionalC$2.<clinit>:0
1,fi.solita.utils.functional.Predicate.<clinit>:0
1,fi.solita.utils.functional.FunctionalImpl$5.<clinit>:0
1,fi.solita.utils.functional.MultiParamFunction.<clinit>:0
1,fi.solita.utils.functional.Function2.<clinit>:0
1,fi.solita.utils.functional.FunctionalImpl$8.<clinit>:0
1,fi.solita.utils.functional.FunctionalImpl$9.<clinit>:0
1,fi.solita.utils.functional.FunctionalImpl$12.<clinit>:0
1,fi.solita.utils.functional.FunctionalImpl$13.<clinit>:0
1,fi.solita.utils.functional.FunctionalImpl$15.<clinit>:0
1,fi.solita.utils.functional.NoneImpl.<clinit>:0
1,fi.solita.utils.functional.Option.<clinit>:8
1,fi.solita.utils.functional.SomeImpl.<clinit>:0
1,fi.solita.utils.functional.Iterables$1.<clinit>:0
1,fi.solita.utils.functional.Iterables$2.<clinit>:0
1,fi.solita.utils.functional.Iterables$3.<clinit>:0
1,fi.solita.utils.functional.Iterables$4.<clinit>:0
1,fi.solita.utils.functional.Iterables$5.<clinit>:0
1,fi.solita.utils.functional.Predicates$4.<clinit>:0
1,fi.solita.utils.functional.Predicates$5.<clinit>:0
1,fi.solita.utils.functional.Predicates$6.<clinit>:0
1,fi.solita.utils.functional.Predicates$7.<clinit>:0
1,fi.solita.utils.functional.Predicates$3.<clinit>:0
1,fi.solita.utils.functional.Predicates$16.<clinit>:0
1,fi.solita.utils.functional.Predicates$17.<clinit>:0
1,fi.solita.utils.functional.Predicates$Impl$1.<clinit>:0
1,fi.solita.utils.functional.Predicates$Impl$2.<clinit>:0
1,fi.solita.utils.functional.Predicates$Impl$3.<clinit>:0
1,fi.solita.utils.functional.FunctionalTest$2.<clinit>:0
1,fi.solita.utils.functional.Tuple.<clinit>:0
1,fi.solita.utils.functional.Tuple2.<clinit>:0
1,fi.solita.utils.functional.Pair.<clinit>:0
1,fi.solita.utils.functional.Transformers$8.<clinit>:0
1,fi.solita.utils.functional.Transformers$8$1.<clinit>:0
1,fi.solita.utils.functional.Transformers$12.<clinit>:0
1,fi.solita.utils.functional.Transformers$14.<clinit>:0
1,fi.solita.utils.functional.Transformers$15.<clinit>:0
1,fi.solita.utils.functional.Transformers$16.<clinit>:0
1,fi.solita.utils.functional.Transformers$17.<clinit>:0
1,fi.solita.utils.functional.Transformers$18.<clinit>:0
1,fi.solita.utils.functional.Transformers$19.<clinit>:0
1,fi.solita.utils.functional.Transformers$20.<clinit>:0
1,fi.solita.utils.functional.Transformers$21.<clinit>:0
1,fi.solita.utils.functional.Transformers$22.<clinit>:0
1,fi.solita.utils.functional.Transformers$23.<clinit>:0
1,fi.solita.utils.functional.Transformers$24.<clinit>:0
1,fi.solita.utils.functional.Transformers$25.<clinit>:0
1,fi.solita.utils.functional.Transformers$26.<clinit>:0
1,fi.solita.utils.functional.Transformers$27.<clinit>:0
1,fi.solita.utils.functional.Transformers$28.<clinit>:0
1,fi.solita.utils.functional.Transformers$29.<clinit>:0
1,fi.solita.utils.functional.Transformers$31.<clinit>:0
1,fi.solita.utils.functional.Transformers$32.<clinit>:0
1,fi.solita.utils.functional.Transformers$33.<clinit>:0
1,fi.solita.utils.functional.Transformers$34.<clinit>:0
1,fi.solita.utils.functional.Transformers$38.<clinit>:0
1,fi.solita.utils.functional.Transformers$39.<clinit>:0
1,fi.solita.utils.functional.Transformers$40.<clinit>:0
1,fi.solita.utils.functional.Transformers$41.<clinit>:0
1,fi.solita.utils.functional.Transformers$46.<clinit>:0
1,fi.solita.utils.functional.Transformers$47.<clinit>:0
1,fi.solita.utils.functional.Transformers$48.<clinit>:0
1,fi.solita.utils.functional.Transformers$49.<clinit>:0
1,fi.solita.utils.functional.Transformers$50.<clinit>:0
1,fi.solita.utils.functional.Transformers$51.<clinit>:0
1,fi.solita.utils.functional.Transformers$52.<clinit>:0
1,fi.solita.utils.functional.Transformers$53.<clinit>:0
1,fi.solita.utils.functional.Transformers$54.<clinit>:0
1,fi.solita.utils.functional.Transformers$55.<clinit>:0
1,fi.solita.utils.functional.Transformers$56.<clinit>:0
1,fi.solita.utils.functional.Transformers$57.<clinit>:0
1,fi.solita.utils.functional.Transformers$58.<clinit>:0
1,fi.solita.utils.functional.Transformers$59.<clinit>:0
1,fi.solita.utils.functional.Transformers$60.<clinit>:0
1,fi.solita.utils.functional.Transformers$61.<clinit>:0
1,fi.solita.utils.functional.Transformers$62.<clinit>:0
1,fi.solita.utils.functional.Transformers$63.<clinit>:0
1,fi.solita.utils.functional.Transformers$64.<clinit>:0
1,fi.solita.utils.functional.Transformers$65.<clinit>:0
1,fi.solita.utils.functional.Transformers$66.<clinit>:0
1,fi.solita.utils.functional.Transformers$67.<clinit>:0
1,fi.solita.utils.functional.Transformers$68.<clinit>:0
1,fi.solita.utils.functional.Transformers$69.<clinit>:0
1,fi.solita.utils.functional.Transformers$70.<clinit>:0
1,fi.solita.utils.functional.Transformers$71.<clinit>:0
1,fi.solita.utils.functional.Transformers$72.<clinit>:0
1,fi.solita.utils.functional.Transformers$73.<clinit>:0
1,fi.solita.utils.functional.Transformers$74.<clinit>:0
1,fi.solita.utils.functional.Transformers$75.<clinit>:0
1,fi.solita.utils.functional.Transformers$76.<clinit>:0
1,fi.solita.utils.functional.Transformers$77.<clinit>:0
1,fi.solita.utils.functional.Transformers$78.<clinit>:0
1,fi.solita.utils.functional.Transformers$79.<clinit>:0
1,fi.solita.utils.functional.Transformers$80.<clinit>:0
1,fi.solita.utils.functional.Iterables$GroupingIterable$1$1.<clinit>:0
1,fi.solita.utils.functional.Function2$2.<clinit>:0
1,fi.solita.utils.functional.SemiGroups$IntSum.<clinit>:0
1,fi.solita.utils.functional.Monoids$IntSum.<clinit>:0
1,fi.solita.utils.functional.SemiGroups$IntProduct.<clinit>:0
1,fi.solita.utils.functional.Monoids$IntProduct.<clinit>:0
