project,id,branch,line,num_of_commits,first_commit_timestamp,sloc,num_of_tests,stars,test_time
indeedeng-vowpal-wabbit-java,indeedeng-vowpal-wabbit-java,0.488479263,0.490514905,161,1422308687,2198,16,50,44.88
jahlborn-jackcess,jahlborn-jackcess,0.775881684,0.873945905,1229,1112884339,44785,194,112,24.723
kapoorlabs-kiara,kapoorlabs-kiara,0.605295567,0.812030075,98,1584377167,10395,439,13,5.87
lexburner-consistent-hash-algorithm,lexburner-consistent-hash-algorithm,0.533333333,0.372413793,3,1550219830,463,2,45,3.152
LiveRamp-HyperMinHash-java,LiveRamp-HyperMinHash-java,0.576923077,0.5696767,48,1525412928,2961,22,51,53.21
lukfor-pgs-calc,lukfor-pgs-calc,0.504125413,0.577555817,348,1584098088,7454,69,20,89.137
MezereonXP-AnomalyDetectTool,MezereonXP-AnomalyDetectTool,0.81092437,0.671787709,118,1524832077,1713,31,86,7.261
mimno-Mallet,mimno-Mallet,0.154080334,0.215309752,759,1199989989,77199,182,988,14.846
mocnik-science-geogrid,mocnik-science-geogrid,0.490084986,0.623318386,161,1500231756,1208,8,46,12.729
myui-btree4j,myui-btree4j,0.238020833,0.372044018,49,1513071024,7684,7,201,27.631
ngallagher-simplexml,ngallagher-simplexml,-1,-1,1726,1169290713,46766,737,95,8.411
octavian-h-time-series-math,octavian-h-time-series-math,0.855128205,0.957671958,229,1436859348,4836,160,14,8.524
orientechnologies-orientdb-etl,orientechnologies-orientdb-etl,0.477124183,0.544250132,289,1403704136,4191,55,34,15.055
orientechnologies-orientdb-jdbc,orientechnologies-orientdb-jdbc,0.361842105,0.285498489,123,1312925367,3638,41,18,19.958
renfei-ik-analyzer,renfei-ik-analyzer,0.298124383,0.386007238,11,1651755720,3400,5,15,7.254
romix-java-concurrent-hash-trie-map,romix-java-concurrent-hash-trie-map,0.677884615,0.776,67,1347370998,2386,21,150,3.681
santanusinha-json-rules,santanusinha-json-rules,0.287671233,0.844680851,129,1473887516,6817,127,23,2.505
sbesada-java.math.expression.parser,sbesada-java.math.expression.parser,0.601694915,0.677002584,64,1430414092,1850,10,35,6.947
solita-functional-utils,solita-functional-utils,0.269201521,0.124627862,308,1356097127,28262,48,22,2.208
spullara-java-future-jdk8,spullara-java-future-jdk8,0.216216216,0.52247191,82,1331269815,1249,23,19,45.727
stanfordnlp-CoreNLP,stanfordnlp-CoreNLP,0.153675644,0.183523989,17223,1372369448,619503,1458,9359,18.749
StarlangSoftware-TurkishDeasciifier,StarlangSoftware-TurkishDeasciifier,0.853658537,0.885542169,92,1527792654,417,5,7,2.174
StarlangSoftware-TurkishMorphologicalDisambiguation,StarlangSoftware-TurkishMorphologicalDisambiguation,0.489383215,0.388655462,147,1527930217,2786,4,8,22.046
StarlangSoftware-TurkishPropBank,StarlangSoftware-TurkishPropBank,0.235849057,0.448717949,74,1527829703,600,10,6,1.31
StarlangSoftware-TurkishSentiNet,StarlangSoftware-TurkishSentiNet,0.842105263,0.788321168,58,1566712250,312,7,11,1.717
StarlangSoftware-TurkishSpellChecker,StarlangSoftware-TurkishSpellChecker,0.866983373,0.925986842,172,1527793479,1381,9,10,14.718
StarlangSoftware-TurkishWordNet,StarlangSoftware-TurkishWordNet,0.144843569,0.140795382,406,1527931872,6932,29,50,100.635
Sweetiee-yi-Jaba,Sweetiee-yi-Jaba,0.774647887,0.864795918,6,1544367302,808,6,97,3.791
wiqer-ef-redis,wiqer-ef-redis,0.047747748,0.046481178,36,1633577656,6762,7,102,9.466
zhoujianling-PointCloudUtilities,zhoujianling-PointCloudUtilities,0.721082855,0.792164179,206,1536660032,6587,70,34,3.113
